"80","Fresno State","Fresno","Fresno","10/3/1988","12/31/2030","True","True","339","Grass","-119.742310","36.820833","Fresno"
"81","Shenandoah Valley","Plymouth","Amador","5/11/1990","5/17/2000","False","True","1550","Grass","-120.805070","38.522697","Amador"
"82","Claremont","Claremont","Los Angeles","4/13/1989","9/26/2007","False","True","1620","Grass","-117.696110","34.13","Los Angeles"
"83","Santa Rosa","Santa Rosa","Sonoma","1/1/1990","12/31/2030","True","True","80","Grass","-122.799930","38.403550","Sonoma"
"84","Browns Valley","Marysville","Yuba","4/13/1989","12/31/2030","True","True","940","Grass","-121.315670","39.252561","Yuba"
"85","Hopland FS","Hopland","Mendocino","9/23/1989","4/25/2016","False","False","1160","Bare","-123.080120","39.006747","Mendocino"
"86","Lindcove","Lindcove","Tulare","5/31/1989","12/31/2030","True","True","480","Grass","-119.059350","36.3605","Tulare"
"87","Meloland","El Centro","Imperial","12/12/1989","12/31/2030","True","True","-50","Grass","-115.446260","32.806183","Imperial"
"88","Cuyama","Cuyama","Santa Barbara","5/20/1989","12/31/2030","True","True","2290","Grass","-119.6738","34.942525","Santa Barbara"
"89","Salinas South","Salinas","Monterey","9/5/1992","9/25/2012","False","True","120","Grass","-121.5293","36.609444","Monterey"
"90","Alturas","Alturas","Modoc","4/23/1989","12/31/2030","True","True","4405","Grass","-120.480310","41.438214","Modoc"
"91","Tulelake FS","Tulelake","Siskiyou","4/12/1989","12/31/2030","True","True","4035","Grass","-121.472370","41.958869","Siskiyou"
"92","Kesterson","Gustine","Merced","10/13/1989","12/31/2030","True","False","75","Grass","-120.880820","37.231861","Merced"
"93","Lamont","Lamont","Kern","2/4/1990","10/3/1994","False","True","382","Grass","-118.928610","35.286667","Kern"
"94","Goleta Foothills","Goleta","Santa Barbara","7/7/1990","7/18/2016","False","True","640","Grass","-119.869290","34.471333","Santa Barbara"
"95","Watsonville","Watsonville","Santa Cruz","9/13/1989","7/24/1995","False","True","100","Grass","-121.808890","36.886111","Santa Cruz"
"96","Woodside","Woodside","San Mateo","10/31/1990","1/24/1994","False","True","560","Grass","-122.2817","37.453661","San Mateo"
"97","Port Hueneme","Port Hueneme","Ventura","2/16/1991","7/31/2000","False","True","18","Grass","-119.20","34.173333","Ventura"
"98","Ramona","Ramona","San Diego","4/20/1991","5/28/1998","False","True","1340","Grass","-116.938330","33.049444","San Diego"
"99","Santa Monica","Santa Monica","Los Angeles","12/11/1992","5/8/2050","True","True","340","Grass","-118.476890","34.044311","Los Angeles"
"100","Fremont","Fremont","Alameda","8/29/1991","6/19/2000","False","True","40","Grass","-121.967580","37.525853","Alameda"
"101","Piru","Piru","Ventura","8/27/1991","2/20/2005","False","True","640","Alfalfa","-118.788890","34.3750","Ventura"
"102","El Dorado","Long Beach","Los Angeles","10/24/1990","10/20/1999","False","True","17","Grass","-118.093890","33.797222","Los Angeles"
"103","Windsor","Windsor","Sonoma","12/14/1990","12/31/2030","True","False","85","Grass","-122.8293","38.526336","Sonoma"
"104","De Laveaga","Santa Cruz","Santa Cruz","9/28/1990","12/31/2030","True","True","300","Grass","-121.996760","36.997444","Santa Cruz"
"105","Westlands","Tranquility","Fresno","4/17/1992","12/31/2030","True","True","191","Grass","-120.381810","36.634028","Fresno"
"106","Sanel Valley","Hopland","Mendocino","2/1/1991","12/31/2030","True","True","525","Grass","-123.089280","38.982581","Mendocino"
"107","Santa Barbara","Santa Barbara","Santa Barbara","4/7/1993","12/31/2030","True","True","250","Grass","-119.737420","34.437353","Santa Barbara"
"108","Gerber Dryland","Gerber","Tehama","3/11/1991","5/12/1998","False","True","245","Bare","-122.162220","40.042778","Tehama"
"109","Carneros","Napa","Napa","3/11/1993","12/31/2030","True","True","5","Grass","-122.354960","38.219503","Napa"
"110","Newberry Springs","Dagget","San Bernardino","2/21/1992","12/27/1996","False","True","1929","Grass","-116.641670","34.840556","San Bernardino"
"111","Green Valley Road","Watsonville","Santa Cruz","5/29/1992","12/31/2030","True","False","110","Grass","-121.763940","36.943964","Santa Cruz"
"112","San Ardo","San Lucas","Monterey","6/18/1993","3/13/1995","False","True","374","Grass","-120.957780","36.078889","Monterey"
"113","King City-Oasis Rd.","King City","Monterey","6/12/1993","12/31/2030","True","True","540","Grass","-121.084570","36.121083","Monterey"
"114","Arroyo Seco","Soledad","Monterey","6/18/1993","12/31/2030","True","True","235","Grass","-121.291350","36.347306","Monterey"
"115","Gonzales","Salinas","Monterey","6/12/1993","11/10/1998","False","True","146","Grass","-121.515970","36.509750","Monterey"
"116","Salinas North","Salinas","Monterey","6/18/1993","12/31/2030","True","False","61","Grass","-121.691890","36.716806","Monterey"
"117","Victorville","Victorville","San Bernardino","2/1/1994","12/31/2030","True","True","2890","Grass","-117.263510","34.475914","San Bernardino"
"118","Cathedral City","Cathedral City","Riverside","12/7/1995","10/9/2014","False","True","392","Grass","-116.478730","33.841292","Riverside"
"119","Putah Creek","Winters","Solano","8/21/1993","1/25/1995","False","True","180","Grass","-122.003930","38.492167","Solano"
"120","Guadalupe","Guadalupe","Santa Barbara","12/24/1993","11/28/2000","False","False","110","Grass","-120.548610","34.962778","Santa Barbara"
"121","Dixon","Dixon","Solano","9/20/1994","12/31/2030","True","True","37","Grass","-121.786910","38.415564","Solano"
"122","Hastings Tract","Dixon","Solano","3/28/1995","6/10/2009","False","True","10","Grass","-121.7906","38.283075","Solano"
"123","Suisun Valley","Cordelia","Solano","8/18/1994","7/11/2010","False","True","35","Grass","-122.116990","38.233972","Solano"
"124","Panoche","Firebaugh","Fresno","7/27/1995","12/31/2030","True","True","183","Grass","-120.731410","36.890056","Fresno"
"125","Arvin-Edison","Arvin","Kern","3/22/1995","12/31/2030","True","True","500","Grass","-118.778410","35.205583","Kern"
"126","San Benito","Hollister","San Benito","6/9/1994","12/31/2030","True","True","340","Grass","-121.362750","36.854833","San Benito"
"127","Salton Sea West","Salton City","Imperial","11/21/1994","9/16/2012","False","False","-225","Bare","-115.944840","33.327703","Imperial"
"128","Salton Sea East","Niland","Imperial","11/17/1994","8/9/2013","False","False","-226","Bare","-115.580120","33.220186","Imperial"
"129","Pajaro","Pajaro","Monterey","9/13/1995","12/31/2030","True","True","65","Grass","-121.741930","36.902778","Monterey"
"130","Temecula East","Temecula","Riverside","7/1/1995","11/5/1996","False","True","1500","Grass","-117.036940","33.556389","Riverside"
"131","Fair Oaks","Fair Oaks","Sacramento","4/18/1997","12/31/2030","True","True","265","Grass","-121.218870","38.649964","Sacramento"
"132","Morgan Hill","Morgan Hill","Santa Clara","4/28/1997","5/1/2008","False","True","385","Grass","-121.636320","37.151533","Santa Clara"
"133","Glendale","Glendale","Los Angeles","8/7/1996","1/5/2015","False","True","1111","Grass","-118.2302","34.196531","Los Angeles"
"134","Barstow NE","Barstow","San Bernardino","1/8/1997","10/30/2013","False","True","2040","Grass","-116.979860","34.884267","San Bernardino"
"135","Blythe NE","Blythe","Riverside","1/16/1997","12/31/2030","True","True","275","Grass","-114.558110","33.662869","Riverside"
"136","Oasis","Oasis/Indio","Riverside","1/7/1997","12/31/2050","True","True","12","Grass","-116.155750","33.523694","Riverside"
"137","Temecula East II","Temecula","Riverside","2/20/1997","9/20/2011","False","True","1536","Grass","-117.031660","33.558017","Riverside"
"138","Famoso","Macfarland","Kern","4/9/1997","12/29/2015","False","True","415","Grass","-119.212590","35.603111","Kern"
"139","Winters","Winters","Solano","6/15/1998","12/31/2030","True","False","136","Grass","-121.978530","38.501258","Solano"
"140","Twitchell Island","Rio Vista","Sacramento","10/8/1997","12/31/2050","True","True","0","Grass","-121.674455","38.121739","Sacramento"
"141","Mecca","Mecca","Riverside","5/5/1998","3/11/2010","False","True","-180","Grass","-115.9928","33.536894","Riverside"
"142","Orange Cove","Orange Cove","Fresno","1/1/1999","12/31/2030","True","True","450","Grass","-119.389030","36.721083","Fresno"
"143","San Juan Valley","Hollister","San Benito","1/1/1998","12/31/2030","True","True","245","Grass","-121.467870","36.822861","San Benito"
"144","Petaluma East","Petaluma","Sonoma","8/25/1999","12/31/2030","True","True","97","Grass","-122.616460","38.266428","Sonoma"
"145","Madera","Madera","Madera","5/13/1998","3/27/2013","False","True","230","Grass","-120.186390","37.016528","Madera"
"146","Belridge","Lost Hills","Kern","10/9/1998","12/31/2030","True","True","410","Grass","-119.691140","35.505833","Kern"
"147","Otay Lake","Chula Vista","San Diego","4/15/1999","12/31/2030","True","True","580","Grass","-116.939280","32.628208","San Diego"
"148","Merced","Merced","Merced","1/4/1999","12/31/2030","True","True","200","Grass","-120.3867","37.314139","Merced"
