station_id,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
191,3.228344,3.182935,3.114729,3.246361,3.403268,3.464326,3.53261,3.583559,3.301429,3.15818,3.016738,2.968524
192,2.603344,2.744631,3.13541,3.62906,3.474288,3.479452,3.405288,3.626393,3.182189,3.234824,2.790056,2.529837
193,3.597957,3.546279,3.72297,3.594476,3.782677,3.650412,3.608247,3.457298,3.497396,3.501118,3.050853,3.283046
194,3.514861,3.458857,3.307285,3.710982,3.910844,3.909107,3.8501,3.84192,3.657888,3.875905,3.20006,3.149688
195,3.321999,3.320019,3.100191,3.499697,3.921539,3.914501,3.846609,3.798258,3.547634,3.667742,3.183674,3.003131
196,3.27986,3.218027,3.155045,3.401708,3.825186,3.697319,3.71147,3.704584,3.561877,3.397368,3.249385,2.944442
197,2.4177,2.497686,2.647998,2.970383,2.866818,2.594632,2.640478,2.47709,2.390785,2.359052,2.451885,2.4245
198,3.150236,3.293829,3.798663,4.184264,3.968432,4.069753,4.060745,4.295831,3.921499,3.890695,3.271203,2.795035
199,2.34423,2.494024,2.550869,2.938927,2.943318,2.740597,2.671075,2.631595,2.430052,2.532472,2.42547,2.477051
200,3.308984,3.449464,4.105478,4.634099,4.591508,4.54177,4.721946,5.133449,4.372998,4.385702,3.693748,2.999135
201,2.801153,3.047931,3.58401,3.877288,4.050299,3.798955,3.74814,4.034877,3.649174,3.511257,3.151681,2.781128
202,2.987866,3.098553,3.521626,3.800718,3.603652,3.599323,3.44908,3.461072,3.294327,3.53633,2.912028,2.802307
203,4.039447,3.871583,4.077583,4.256344,4.146943,4.272175,3.87004,3.923031,3.773946,4.34675,3.421744,3.521552
204,2.57993,2.693925,2.923764,3.206781,3.256594,2.966797,2.978438,2.848703,2.742845,2.880361,2.674384,2.459477
205,3.478277,3.424417,3.492664,3.66594,3.662309,3.676132,3.552647,3.452245,3.332714,3.586831,3.018128,3.139282
206,3.631726,3.574832,3.40408,3.826644,4.003608,4.005143,3.902695,3.85001,3.7018,3.988932,3.270529,3.220956
207,2.661902,2.99145,3.083248,3.476918,3.713213,3.268699,3.347806,3.466238,3.106209,2.846214,2.888628,2.761743
208,3.217995,3.375358,4.011116,4.497096,4.524111,4.41597,4.555838,4.913071,4.233554,4.186607,3.605651,2.96179
209,3.639629,3.492011,3.511981,3.60988,3.699881,3.7471,3.710433,3.63063,3.570586,3.607661,3.130761,3.165329
210,3.601144,3.552778,3.69566,3.54914,3.748337,3.602629,3.600483,3.451707,3.45424,3.49543,3.04746,3.257697
211,3.688779,3.614654,3.493064,3.697895,3.968224,3.914241,3.842662,3.789034,3.589444,3.912804,3.165998,3.221577
212,3.193157,3.2,3.15,3.399161,3.701268,3.700341,3.751413,3.780947,3.551413,3.401579,3.150977,2.898775
213,3.21698,3.199448,3.11698,3.200377,3.376231,3.403476,3.535647,3.497444,3.337416,3.103603,3.057178,2.917928
214,3.612811,3.56016,3.552503,3.655138,3.814985,3.712004,3.608487,3.462721,3.409975,3.573106,3.153863,3.253515
215,2.837438,2.996543,3.419925,3.827106,3.643456,3.531903,3.531834,3.674752,3.522053,3.434174,2.969792,2.638373
216,3.165996,3.177195,3.87605,4.242248,4.043109,4.129731,4.1561,4.395988,4.002831,4.100704,3.287448,2.874125
217,2.98577,3.229243,3.689141,4.029662,3.900158,3.87489,3.870644,4.076118,3.909541,3.880829,3.187339,2.732431
218,3.157423,3.387712,3.945706,4.45613,4.455852,4.306566,4.419942,4.741289,4.154607,4.03972,3.597992,2.901577
219,2.944809,3.084506,3.560767,3.915724,3.819361,3.722373,3.707454,3.953815,3.6769,3.615459,3.04794,2.734453
220,2.331034,2.585561,2.591194,2.867101,2.876267,2.621387,2.53133,2.505811,2.384945,2.408115,2.438397,2.370031
221,2.894074,3.093975,3.518711,4.104346,4.301004,4.059263,4.110842,4.39508,3.873686,3.939538,3.421637,2.885937
222,3.197125,3.207432,2.958628,3.321145,3.856908,3.844,3.690151,3.707924,3.407464,3.307336,2.983674,2.918334
223,3.252624,3.351658,3.97197,4.444633,4.210698,4.266277,4.309918,4.736829,4.206132,4.274431,3.403149,3.006281
224,2.947057,3.040081,2.958182,3.461428,3.85491,3.803371,3.811459,3.961718,3.559579,3.29371,3.151454,2.861599
225,2.395819,2.345581,2.59875,3.351725,3.622729,3.370525,3.610052,3.574723,3.27818,2.885799,2.699281,2.332475
226,3.249777,3.25,3.15,3.443337,3.783084,3.750227,3.784805,3.749973,3.596276,3.45032,3.156704,2.92667
227,3.399711,3.400012,3.199709,3.566054,3.847727,3.943022,3.734003,3.750204,3.568712,3.749698,3.153734,3.046546
228,3.399149,3.399368,3.198075,3.54458,3.853365,4.038945,3.754031,3.7539,3.542041,3.748097,3.101329,3.102659
229,3.522531,3.496291,3.592073,3.59257,3.749144,3.61923,3.607538,3.420483,3.397191,3.510492,3.043561,3.2581
230,2.955569,3.050704,3.710122,4.077624,3.80848,3.86065,3.822405,4.123184,3.710207,3.682374,2.990634,2.717721
231,2.725474,2.872845,3.462119,3.698206,3.580413,3.448274,3.442696,3.488881,3.237805,3.376914,2.783499,2.65
232,2.769218,2.91654,3.349591,3.657223,3.558906,3.443784,3.27783,3.27847,3.060692,3.248836,2.76117,2.691537
233,2.713372,2.929762,3.14238,3.604163,3.729518,3.452456,3.562475,3.702458,3.203165,3.201867,2.958008,2.749714
234,2.574741,2.531477,2.825438,3.37281,3.321699,3.174644,3.129164,3.312506,2.774317,2.916193,2.62952,2.580077
235,3.197,3.25,3.093649,3.445486,3.805258,3.807486,3.8,3.80567,3.599983,3.517224,3.100216,2.95
236,2.237001,2.250746,2.407408,3.367573,3.134019,2.602679,2.763557,2.866164,2.629664,2.40002,2.215665,2.244059
237,2.593836,2.992962,3.13629,3.62004,3.533705,3.330133,3.430232,3.482429,3.025329,3.142077,2.747529,2.600912
238,2.703596,2.98672,3.329932,3.686973,3.736961,3.491014,3.610513,3.708966,3.24573,3.321418,2.815028,2.682691
239,2.423775,2.835211,2.904384,3.254267,3.207589,2.939346,3.042639,2.955912,2.661946,2.7362,2.548364,2.543652
240,2.831412,3.081794,3.413534,3.893766,3.896517,3.747324,3.903044,3.983128,3.560748,3.577816,3.022072,2.713077
241,3.074878,3.26803,3.807825,4.381175,4.184587,4.113791,4.266597,4.434759,4.136664,3.948678,3.322083,2.956185
